2010-10-22 17:50:42 Debug: Notice (1024): Please change the value of 'Security.salt' in app/config/core.php to a salt value specific to your application in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\cake\libs\debugger.php, line 684]
2010-10-26 22:24:16 Debug: Notice (8): Undefined variable: javascript in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\layouts\default.ctp, line 15]
2010-10-26 22:26:08 Debug: Notice (8): Undefined variable: javascript in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\layouts\default.ctp, line 15]
2010-10-26 22:26:25 Debug: Notice (8): Undefined variable: paging in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\controllers\customers_controller.php, line 131]
2010-10-26 22:27:33 Debug: Notice (8): Undefined variable: paging in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\controllers\customers_controller.php, line 131]
2010-10-26 22:29:44 Debug: Notice (8): Undefined variable: customer in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\elements\suppliers\paging.ctp, line 41]
2010-10-26 22:30:48 Debug: Notice (8): Undefined variable: javascript in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\layouts\default.ctp, line 15]
2010-10-26 22:30:52 Debug: Notice (8): Undefined variable: javascript in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\layouts\default.ctp, line 15]
2010-10-26 22:30:58 Debug: Notice (8): Undefined variable: javascript in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\layouts\default.ctp, line 15]
2010-10-26 22:31:27 Debug: Notice (8): Undefined variable: javascript in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\layouts\default.ctp, line 15]
2010-10-26 22:31:45 Debug: Notice (8): Undefined variable: javascript in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\layouts\default.ctp, line 15]
2010-10-26 22:31:50 Debug: Notice (8): Undefined variable: javascript in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\layouts\default.ctp, line 15]
2010-10-26 22:32:56 Debug: Notice (8): Undefined variable: javascript in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\layouts\default.ctp, line 15]
2010-10-26 22:33:13 Debug: Notice (8): Undefined variable: javascript in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\layouts\default.ctp, line 15]
2010-10-26 22:33:19 Debug: Notice (8): Undefined variable: javascript in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\layouts\default.ctp, line 15]
2010-10-26 22:33:20 Debug: Notice (8): Undefined variable: javascript in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\layouts\default.ctp, line 15]
2010-10-26 22:33:23 Debug: Notice (8): Undefined variable: javascript in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\layouts\default.ctp, line 15]
2010-10-26 22:33:26 Debug: Notice (8): Undefined variable: javascript in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\layouts\default.ctp, line 15]
2010-10-26 22:33:27 Debug: Notice (8): Undefined variable: javascript in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\layouts\default.ctp, line 15]
2010-10-26 22:34:02 Debug: Notice (8): Undefined variable: javascript in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\layouts\default.ctp, line 15]
2010-10-26 22:34:20 Debug: Notice (8): Undefined variable: javascript in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\layouts\default.ctp, line 15]
2010-10-26 22:34:23 Debug: Notice (8): Undefined variable: javascript in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\layouts\default.ctp, line 15]
2010-10-26 22:34:31 Debug: Notice (8): Undefined variable: javascript in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\layouts\default.ctp, line 15]
2010-10-26 22:35:13 Debug: Notice (8): Undefined variable: javascript in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\layouts\default.ctp, line 15]
2010-10-26 22:35:15 Debug: Notice (8): Undefined variable: javascript in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\layouts\default.ctp, line 15]
2010-10-26 22:35:27 Debug: Notice (8): Undefined variable: javascript in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\layouts\default.ctp, line 15]
2010-10-26 22:35:37 Debug: Notice (8): Undefined variable: javascript in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\layouts\default.ctp, line 15]
2010-10-26 22:35:44 Debug: Notice (8): Undefined variable: javascript in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\layouts\default.ctp, line 15]
2010-10-26 22:35:52 Debug: Notice (8): Undefined variable: javascript in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\layouts\default.ctp, line 15]
2010-10-26 22:36:10 Debug: Notice (8): Undefined variable: javascript in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\layouts\default.ctp, line 15]
2010-10-26 22:39:20 Debug: Notice (8): Undefined variable: javascript in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\layouts\default.ctp, line 15]
2010-10-26 22:44:53 Debug: Notice (8): Undefined variable: javascript in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\layouts\default.ctp, line 15]
2010-10-26 22:45:08 Debug: Notice (8): Undefined variable: javascript in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\layouts\default.ctp, line 15]
2010-10-26 22:45:19 Debug: Notice (8): Undefined variable: javascript in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\layouts\default.ctp, line 15]
2010-10-26 22:45:54 Debug: Notice (8): Use of undefined constant webroot - assumed 'webroot' in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\customers\maint.ctp, line 10]
2010-10-26 22:45:54 Debug: Notice (8): Undefined variable: javascript in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\layouts\default.ctp, line 15]
2010-10-26 22:46:02 Debug: Notice (8): Undefined variable: javascript in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\layouts\default.ctp, line 15]
2010-10-26 22:46:03 Debug: Notice (8): Undefined variable: javascript in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\layouts\default.ctp, line 15]
2010-10-26 22:46:34 Debug: Notice (8): Undefined variable: javascript in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\layouts\default.ctp, line 15]
2010-10-26 22:57:00 Debug: Notice (8): Undefined variable: javascript in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\layouts\default.ctp, line 15]
2010-10-26 22:57:21 Debug: Notice (8): Undefined variable: javascript in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\layouts\default.ctp, line 15]
2010-10-26 22:57:25 Debug: Notice (8): Undefined variable: javascript in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\layouts\default.ctp, line 15]
2010-10-26 22:59:02 Debug: Notice (8): Undefined variable: javascript in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\layouts\default.ctp, line 15]
2010-10-26 23:02:34 Debug: Notice (8): Undefined variable: javascript in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\layouts\default.ctp, line 15]
2010-10-26 23:02:38 Debug: Notice (8): Undefined variable: javascript in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\layouts\default.ctp, line 15]
2010-10-26 23:02:47 Debug: Notice (8): Undefined index: id in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\cake\libs\model\model.php, line 1329]
2010-10-26 23:02:47 Debug: Notice (8): Undefined variable: javascript in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\layouts\default.ctp, line 15]
2010-10-26 23:07:24 Debug: Notice (8): Undefined index: id in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\cake\libs\model\model.php, line 1329]
2010-10-26 23:07:24 Debug: Notice (8): Undefined variable: javascript in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\layouts\default.ctp, line 15]
2010-10-28 22:38:03 Debug: Notice (8): Undefined offset: 1 in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\cake\libs\view\helpers\form.php, line 1830]
2010-10-28 22:38:03 Debug: Notice (8): Undefined offset: 1 in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\cake\libs\view\helpers\form.php, line 1831]
2010-10-28 22:38:03 Debug: Notice (8): Undefined offset: 1 in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\cake\libs\view\helpers\form.php, line 1845]
2010-10-28 22:38:38 Debug: Notice (8): Undefined offset: 1 in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\cake\libs\view\helpers\form.php, line 1830]
2010-10-28 22:38:38 Debug: Notice (8): Undefined offset: 1 in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\cake\libs\view\helpers\form.php, line 1831]
2010-10-28 22:38:38 Debug: Notice (8): Undefined offset: 1 in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\cake\libs\view\helpers\form.php, line 1845]
2010-10-28 23:08:00 Debug: Notice (8): Undefined index: id in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\controllers\so_controller.php, line 30]
2010-10-28 23:08:00 Debug: Notice (8): Undefined property: SoController::$Customer in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\controllers\so_controller.php, line 44]
2010-10-28 23:08:18 Debug: Notice (8): Undefined index: id in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\controllers\so_controller.php, line 30]
2010-10-28 23:08:18 Debug: Notice (8): Undefined property: SoController::$Customer in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\controllers\so_controller.php, line 44]
2010-10-28 23:09:28 Debug: Notice (8): Undefined property: SoController::$Customer in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\controllers\so_controller.php, line 44]
2010-10-30 01:15:05 Debug: Notice (8): Undefined variable: data in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\so\maint.ctp, line 1]
2010-10-30 01:19:46 Debug: Notice (8): Use of undefined constant length - assumed 'length' in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\so\maint.ctp, line 46]
2010-10-30 01:20:38 Debug: Notice (8): Undefined index: SoDetail in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\so\maint.ctp, line 46]
2010-10-30 01:22:00 Debug: Notice (8): Undefined index: SoDetail in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\so\maint.ctp, line 44]
2010-10-30 01:26:40 Debug: Notice (8): Undefined index: SoDetail in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\so\maint.ctp, line 44]
2010-10-30 01:34:10 Debug: Notice (8): Undefined index: SoDetail in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\so\maint.ctp, line 44]
2010-10-30 01:36:17 Debug: Notice (8): Undefined index: SoDetail in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\so\maint.ctp, line 44]
2010-10-30 01:37:44 Debug: Notice (8): Undefined index: SoDetail in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\so\maint.ctp, line 44]
2010-10-30 16:34:52 Debug: Notice (8): Undefined property: SoController::$limit in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\controllers\so_controller.php, line 74]
2010-10-30 16:34:52 Debug: Notice (8): Undefined property: SoController::$limit in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\controllers\so_controller.php, line 78]
2010-10-30 16:34:52 Debug: Notice (8): Undefined variable: so in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\elements\so\paging.ctp, line 37]
2010-10-30 16:34:52 Debug: Notice (8): Undefined variable: so in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\elements\so\paging.ctp, line 38]
2010-10-30 16:34:52 Debug: Notice (8): Undefined variable: so in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\elements\so\paging.ctp, line 39]
2010-10-30 16:34:52 Debug: Notice (8): Undefined variable: so in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\elements\so\paging.ctp, line 40]
2010-10-30 16:34:52 Debug: Notice (8): Undefined variable: so in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\elements\so\paging.ctp, line 41]
2010-10-30 16:34:52 Debug: Notice (8): Undefined variable: so in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\elements\so\paging.ctp, line 42]
2010-10-30 16:34:52 Debug: Notice (8): Undefined variable: so in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\elements\so\paging.ctp, line 44]
2010-10-30 16:35:16 Debug: Notice (8): Undefined property: SoController::$limit in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\controllers\so_controller.php, line 74]
2010-10-30 16:35:16 Debug: Notice (8): Undefined property: SoController::$limit in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\controllers\so_controller.php, line 78]
2010-10-30 16:35:16 Debug: Notice (8): Undefined variable: so in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\elements\so\paging.ctp, line 37]
2010-10-30 16:35:16 Debug: Notice (8): Undefined variable: so in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\elements\so\paging.ctp, line 38]
2010-10-30 16:35:16 Debug: Notice (8): Undefined variable: so in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\elements\so\paging.ctp, line 39]
2010-10-30 16:35:16 Debug: Notice (8): Undefined variable: so in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\elements\so\paging.ctp, line 40]
2010-10-30 16:35:16 Debug: Notice (8): Undefined variable: so in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\elements\so\paging.ctp, line 41]
2010-10-30 16:35:16 Debug: Notice (8): Undefined variable: so in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\elements\so\paging.ctp, line 42]
2010-10-30 16:35:16 Debug: Notice (8): Undefined variable: so in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\elements\so\paging.ctp, line 44]
2010-10-30 16:36:09 Debug: Notice (8): Undefined property: SoController::$limit in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\controllers\so_controller.php, line 74]
2010-10-30 16:36:09 Debug: Notice (8): Undefined property: SoController::$limit in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\controllers\so_controller.php, line 78]
2010-10-30 16:36:09 Debug: Notice (8): Undefined variable: so in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\elements\so\paging.ctp, line 37]
2010-10-30 16:36:09 Debug: Notice (8): Undefined variable: so in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\elements\so\paging.ctp, line 38]
2010-10-30 16:36:09 Debug: Notice (8): Undefined variable: so in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\elements\so\paging.ctp, line 39]
2010-10-30 16:36:09 Debug: Notice (8): Undefined variable: so in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\elements\so\paging.ctp, line 40]
2010-10-30 16:36:09 Debug: Notice (8): Undefined variable: so in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\elements\so\paging.ctp, line 41]
2010-10-30 16:36:09 Debug: Notice (8): Undefined variable: so in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\elements\so\paging.ctp, line 42]
2010-10-30 16:36:09 Debug: Notice (8): Undefined variable: so in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\elements\so\paging.ctp, line 44]
2010-10-30 16:36:33 Debug: Notice (8): Undefined variable: so in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\elements\so\paging.ctp, line 37]
2010-10-30 16:36:33 Debug: Notice (8): Undefined variable: so in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\elements\so\paging.ctp, line 38]
2010-10-30 16:36:33 Debug: Notice (8): Undefined variable: so in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\elements\so\paging.ctp, line 39]
2010-10-30 16:36:33 Debug: Notice (8): Undefined variable: so in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\elements\so\paging.ctp, line 40]
2010-10-30 16:36:33 Debug: Notice (8): Undefined variable: so in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\elements\so\paging.ctp, line 41]
2010-10-30 16:36:33 Debug: Notice (8): Undefined variable: so in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\elements\so\paging.ctp, line 42]
2010-10-30 16:36:33 Debug: Notice (8): Undefined variable: so in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\elements\so\paging.ctp, line 44]
2010-10-30 16:37:01 Debug: Notice (8): Undefined index: supplier_cd in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\elements\so\paging.ctp, line 41]
2010-10-30 16:37:01 Debug: Notice (8): Undefined index: tel in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\elements\so\paging.ctp, line 42]
2010-10-30 16:37:44 Debug: Notice (8): Undefined property: SoController::$Customer in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\controllers\so_controller.php, line 152]
2010-10-30 19:09:30 Debug: Notice (8): Undefined variable: javascript in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\pages\home.ctp, line 1]
2010-10-30 20:48:42 Debug: Notice (8): Undefined index: Customer in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\so\maint.ctp, line 17]
2010-10-30 20:49:18 Debug: Notice (8): Undefined variable: data in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\so\maint.ctp, line 17]
2010-10-30 20:50:07 Debug: Notice (8): Undefined variable: data in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\so\maint.ctp, line 6]
2010-10-30 20:50:07 Debug: Notice (8): Undefined variable: data in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\so\maint.ctp, line 19]
2010-10-30 20:50:14 Debug: Notice (8): Undefined variable: data in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\so\maint.ctp, line 19]
2010-10-30 20:50:25 Debug: Notice (8): Undefined variable: data in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\so\maint.ctp, line 19]
2010-10-30 20:50:40 Debug: Notice (8): Undefined index: Customer in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\so\maint.ctp, line 17]
2010-10-30 21:00:04 Debug: Notice (8): Undefined index: Customer in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\so\maint.ctp, line 17]
2010-10-30 21:00:37 Debug: Notice (8): Undefined variable: javascript in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\pages\home.ctp, line 1]
2010-10-30 21:04:43 Debug: Notice (8): Use of undefined constant foreignKey - assumed 'foreignKey' in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\cake\libs\class_registry.php, line 141]
2010-10-30 21:04:43 Debug: Notice (8): Use of undefined constant conditions - assumed 'conditions' in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\cake\libs\class_registry.php, line 141]
2010-10-30 21:04:56 Debug: Notice (8): Use of undefined constant foreignKeys - assumed 'foreignKeys' in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\cake\libs\class_registry.php, line 141]
2010-10-30 21:04:56 Debug: Notice (8): Use of undefined constant conditions - assumed 'conditions' in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\cake\libs\class_registry.php, line 141]
2010-10-30 23:52:36 Debug: Notice (8): Use of undefined constant ．associationForeignKey・ - assumed '．associationForeignKey・' in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\models\so.php, line 31]
2010-10-31 00:06:41 Debug: Notice (8): Undefined variable: url in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\cake\libs\controller\controller.php, line 979]
2010-10-31 13:28:36 Debug: Notice (8): Use of undefined constant index - assumed 'index' in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\controllers\so_controller.php, line 47]
2010-10-31 13:28:36 Debug: Notice (8): Use of undefined constant index - assumed 'index' in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\controllers\so_controller.php, line 48]
2010-10-31 13:28:36 Debug: Notice (8): Use of undefined constant index - assumed 'index' in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\controllers\so_controller.php, line 50]
2010-10-31 13:28:36 Debug: Notice (8): Use of undefined constant index - assumed 'index' in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\controllers\so_controller.php, line 51]
2010-10-31 14:07:24 Debug: Notice (8): Undefined property: SoController::$ModelName in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\controllers\so_controller.php, line 71]
2010-10-31 14:08:00 Debug: Notice (8): Undefined property: SoController::$SoDetail in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\controllers\so_controller.php, line 71]
2010-10-31 19:21:33 Debug: Notice (8): Undefined index: id in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\controllers\so_controller.php, line 41]
2010-10-31 19:40:54 Debug: Notice (8): Undefined index: SoDetail in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\so\maint.ctp, line 45]
2010-10-31 21:41:45 Debug: Notice (8): Undefined variable: javascript in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\pages\home.ctp, line 1]
2010-10-31 21:41:52 Debug: Notice (8): Undefined variable: javascript in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\pages\home.ctp, line 1]
